species;common.name;egg.diameter.mean;source;fecundity;source;max.body.size;source;longevity;source;age.at.maturity;source;length.at.maturity;source;trophic.level;source;parental.care;source;biogeographic.affinity;source;body.shape;source
Amblyraja hyperborea;Arctic skate;102.5;CP;30;CP;89;CP;24;CP;11;CP;45;CP;4.31;CP;non-guarder;CP;A;CP;flat;CP
Amblyraja radiata;Starry ray;55;CP;26.5;CP;68.7;CP;16;CP;11;CP;35;CP;4.2;CP;non-guarder;CP;B;CP;flat;CP
Ammodytes;;0.94;CP;13133;CP;20.5;CP;8.5;CP;2.35;CP;12.13;CP;2.9;CP;non-guarder;CP;B;CP;eel-like;CP
Anarhichas denticulatus;Northern wolffish;6;CP;46500;CP;162;CP;16;CP;6;CP;80;CP;3.75;CP;guarder;CP;B;CP;elongated;CP
Anarhichas lupus;Atlantic wolffish;6;CP;12740;CP;104;CP;20;CP;6;CP;50;CP;3.55;CP;guarder;CP;B;CP;elongated;CP
Anarhichas minor;Spotted wolffish;3.35;CP;19700;CP;138.4;CP;40;CP;7;CP;70;CP;3.62;CP;guarder;CP;B;CP;elongated;CP
Anisarchus medius;Stout eelblenny;2;CP;700;CP;13.2;CP;13;CP;6;CP;9.5;CP;3.22;CP;guarder;CP;B;CP;eel-like;CP
Arctogadus glacialis;Arctic cod;1.75;CP;15000;CP;52;CP;11;CP;5;CP;24;CP;3.82;CP;non-guarder;CP;A;CP;fusiform;CP
Arctozenus risso;Spotted barracudina;1.94;CP;100000;CP;29;CP;11;CP;6;CP;14.17;CP;3.22;CP;non-guarder;CP;AB;CP;elongated;CP
Argentina silus;Greater argentine;3.25;CP;10381;CP;49;CP;35;CP;8;CP;26;CP;3.32;CP;non-guarder;CP;B;CP;elongated;CP
Artediellus atlanticus;Atlantic hookear sculpin;2.25;CP;62;CP;14.3;CP;10;CP;3.5;CP;5.1;CP;3.42;CP;non-guarder;CP;B;CP;elongated;CP
Bathyraja spinicauda;Spinetail ray;130;CP;47;CP;165;CP;50;CP;12;CP;118;CP;4.41;CP;non-guarder;CP;B;CP;flat;CP
Boreogadus saida;Polar cod;1.75;CP;15000;CP;29;CP;5;CP;2;CP;20;CP;3.12;CP;non-guarder;CP;A;CP;fusiform;CP
Brosme brosme;Tusk;1.35;CP;2300000;CP;69;CP;20;CP;9;CP;53;CP;3.9;CP;non-guarder;CP;B;CP;elongated;CP
Careproctus;;3.75;CP;112;CP;25;CP;12;CP;4;CP;8;CP;3.58;CP;non-guarder;CP;A;CP;fusiform;CP
Chimaera monstrosa;Rabbit fish;165;CP;100;CP;150;CP;26;CP;11.5;CP;45.9;CP;3.52;CP;non-guarder;CP;B;CP;elongated;CP
Clupea harengus;Atlantic herring;1.85;CP;55000;CP;40;CP;25;CP;3;CP;24;CP;3.38;CP;non-guarder;CP;B;CP;elongated;CP
Cottunculus microps;Polar sculpin;4.5;CP;375;CP;15.3;CP;12;CP;4;CP;9.4;CP;4.14;CP;non-guarder;CP;A;CP;elongated;CP
Cyclopterus lumpus;Lumpfish;2.6;CP;194112;CP;55;CP;15;CP;3;CP;29;CP;3.89;CP;guarder;CP;B;CP;deep/short;CP
Enchelyopus cimbrius;Fourbeard rockling;0.82;CP;500000;CP;36;CP;9;CP;3;CP;12.7;CP;3.53;CP;non-guarder;CP;B;CP;elongated;CP
Eumicrotremus derjugini;Leatherfin lumpsucker;1.25;CP;2000;CP;11.3;CP;3;CP;1;CP;4.3;CP;3.25;CP;guarder;CP;A;CP;deep/short;CP
Eumicrotremus spinosus;Atlantic spiny lumpsucker;3;CP;636;CP;14;CP;3;CP;1;CP;5.6;CP;3.48;CP;guarder;CP;A;CP;deep/short;CP
Eutrigla gurnardus;Grey gurnard;1.35;EB;244949;EB;36;EB;21;EB;2.8;EB;;;3.87;EB;non-guarder;EB;B;Fishbase;elongated;EB
Gadiculus argenteus;Silvery pout;1;CP;2763809.125;CP;22;CP;4;CP;2;CP;12.6;CP;3.6;CP;non-guarder;CP;B;CP;fusiform;CP
Gadus morhua;Atlantic cod;1.39;CP;5900000;CP;123.1;CP;25;CP;9;CP;69.7;CP;4.09;CP;non-guarder;CP;B;CP;fusiform;CP
Gaidropsarus argentatus;Arctic rockling;1.27;CP;500000;CP;42;CP;10;CP;4;CP;25;CP;3.39;CP;non-guarder;CP;A;CP;elongated;CP
Gasterosteus aculeatus;Three-spined stickleback;1.305;CP;307.5;CP;7.5;CP;5;CP;1;CP;5.5;CP;3.31;CP;guarder;CP;B;CP;fusiform;CP
Glyptocephalus cynoglossus;Witch flounder;1.16;CP;100000;CP;62;CP;18;CP;4.5;CP;30.4;CP;3.17;CP;non-guarder;CP;B;CP;flat;CP
Gymnelus;;4.25;CP;16;CP;24;CP;5;CP;2;CP;9.8;CP;3.13;CP;guarder;CP;A;CP;eel-like;CP
Gymnocanthus tricuspis;Arctic staghorn sculpin;1.5;CP;4655;CP;21;CP;8;CP;4;CP;11.8;CP;3.46;CP;non-guarder;CP;A;CP;elongated;CP
Hippoglossoides platessoides;American plaice;2.44;CP;380000;CP;54;CP;19;CP;2.6;CP;35.2;CP;4.08;CP;non-guarder;CP;B;CP;flat;CP
Hippoglossus hippoglossus;Atlantic halibut;3.4;CP;3750000;CP;220;CP;50;CP;12;CP;105;CP;4;CP;non-guarder;CP;B;CP;flat;CP
Icelus;;1.7;CP;564;CP;13.85;CP;9;CP;2;CP;5.5;CP;3.62;CP;non-guarder;CP;AB;CP;elongated;CP
Lepidorhombus whiffiagonis;Megrim;1.1;EB;500000;EB;47;EB;16;EB;2.8;EB;;;4.34;EB;non-guarder;EB;B;MF;flat;EB
Leptagonus decagonus;Atlantic poacher;2;CP;687;CP;21.1;CP;11;CP;3;CP;11.6;CP;3.21;CP;non-guarder;CP;AB;CP;elongated;CP
Leptoclinus maculatus;Daubed shanny;1.5;CP;644;CP;17.6;CP;10;CP;6;CP;8.9;CP;3.28;CP;guarder;CP;B;CP;eel-like;CP
Limanda limanda;Common dab;1.2;CP;141000;CP;43;CP;13;CP;5;CP;22;CP;3.39;CP;non-guarder;CP;B;CP;flat;CP
Liparidae;;1.58;CP;4147.5;CP;26.4;CP;7;CP;2.69;CP;8.5;CP;3.3;CP;non-guarder;CP;AB;CP;fusiform;CP
Liparis bathyarcticus;Nebulous snailfish;1.31;EB;5398;EB;15;EB;5.3;EB;2.1;EB;;;3.51;EB;non-guarder;EB;A;MF;elongated;EB
Liparis fabricii;Gelatinous snailfish;2.4;EB;600;EB;21;EB;8;EB;2.9;EB;;;3.33;EB;non-guarder;EB;A;MF;fusiform;EB
